sample_order,file_id,filename,page_count,review_status,record_groups_observed,new_candidate_fields,new_extension_structures,important_tables_or_sections,notes
1,SRC384,Performance_UC_Regents_Chief_Investment_Officer_Report_May2025.pdf,4,REVIEWED,report_context; portfolio_summary; performance_series,report_title; report_date; period_end; reporting_entity; portfolio_name; market_value; prior_period_market_value; currency; monetary_scale; performance_scope; period_label; return_value; benchmark_name; benchmark_return; excess_return,repeating performance rows by portfolio/asset-class and horizon,Executive Summary; Figures 1-4 annualized returns tables,"Full TXT read. Tables repeat market value, returns, policy benchmark, and value added across products and horizons."
2,SRC455,Performance_NMERB_NEPC_Private_Equity_Q1_2016.pdf,17,REVIEWED,report_context; portfolio_summary; period_activity; performance_series; fund_performance,commitment; paid_in_capital; cumulative_distributions; unfunded_commitment; current_allocation_pct; target_allocation_pct; capital_calls; period_distributions; nav_change; investment_strategy; fund_name; vintage_year; additional_fees; valuation; total_value; net_benefit; call_ratio; dpi; tvpi; net_irr,fund-level performance table; strategy exposure table,Executive Summary; Quarterly Change; strategy allocation; trailing performance; vintage/strategy performance detail; ILPA benchmarking,"Full TXT read. Fund tables repeat commitment, cash-flow, valuation, multiples and IRR; strategy table adds target/reported/unfunded/total exposure."
3,SRC099,Quarterly_Report_PSERS_Real_Estate_2Q17_FOIA.pdf,21.0,REVIEWED,report_context; portfolio_summary; period_activity; performance_series; fund_performance; exposure_breakdown,active_partnership_count; new_commitments; beginning_market_value; ending_market_value; total_exposure; exposure_dimension; exposure_bucket; exposure_pct; commitment_approval_date; commitment_execution_date; fund_type,"multi-dimensional exposure/allocation breakdown by structure, strategy, region, asset type",Commitments approved/executed; Portfolio Snapshot; performance by structure/strategy; Cash Flow Activity; Portfolio Summary; regional and asset-type distributions,Full TXT read. Recurrent bridge from beginning MV + contributions/distributions + net value change to ending MV; exposure tables vary dimension but share bucket/value structure.
4,SRC100,Performance_USS_Investment_Builder_Quarterly_Report.pdf,25.0,REVIEWED,report_context; portfolio_summary; performance_series; fund_performance; exposure_breakdown,fund_size; fee_rate; launch_date; management_style; volatility; return_target; underlying_fund_weight; isin,fund-facts rows paired with performance/benchmark series and asset-allocation breakdown,Fund performance; Fund Facts; Asset allocation; performance/risk charts; Underlying fund information,"Full TXT read. PDF page 8 layout checked with PyMuPDF blocks to confirm performance chart, asset-allocation chart, and Fund Facts field/value pairing."
5,SRC452,Performance_Dallas_Police_Fire_Meketa_Private_Markets_Q4_2023.pdf,28,REVIEWED,report_context; portfolio_summary; period_activity; performance_series; fund_performance; exposure_breakdown,fund_status,active/completed fund sections using common fund-performance table; asset-class allocation and DPI/TVPI charts,Quarterly Change; Market Value Allocation by Asset Class; DPI and TVPI by Asset Class; Active Funds; Completed Funds; Unfunded Commitments,"Full TXT read. PNG layout checked on pages 9-12, 15 and 26; table columns confirmed fund-level commitment, paid-in, fees, distributions, valuation, total value, gain/loss, called, DPI, TVPI, IRR."
6,SRC205,Performance_Pennsylvania_SERS_Private_Equity_Board_Update_2025Q1.pdf,40,REVIEWED,report_context; portfolio_summary; period_activity; performance_series; fund_performance; exposure_breakdown,fund_count; manager_count; net_cash_flow; exposure_measure; exposure_amount; irr_rank; multiple_rank,schedule of investments by vintage/sector; geography exposure rows with NAV/unfunded/total exposure measures,Performance Summary; Portfolio vs Benchmarks; Quarterly Valuation Movement; Cash Flow Activity; Geography; Schedule of Investments,"Full 40-page TXT read. Repeating fund table includes sector, commitment, contributions, distributions, market value, gain/loss, TVM, IRR and quartile ranks."
7,SRC161,Quarterly_Report_PA_SERS_Investment_Performance_4Q2015.pdf,59,REVIEWED,report_context; portfolio_summary; period_activity; performance_series; fund_performance; exposure_breakdown,performance_basis; metric_name; metric_value; percentile_rank; inception_date,generic risk/performance metric rows; exposure/holding rows with measure labels instead of fixed columns,Asset Allocation vs Target; Investable Assets bridge; peer-group risk/return; performance by composite/manager; top holdings; portfolio characteristics; market review,"Full 59-page TXT read, including addendum/glossary. PDF block layout checked on pages 5, 6, 11 and 28 for allocation bridge, peer statistics, multi-horizon performance and holdings."
8,SRC480,Performance_PMRS_Pennsylvania_Marquette_Quarterly_Jun2021.pdf,66,REVIEWED,report_context; portfolio_summary; period_activity; performance_series; fund_performance; exposure_breakdown,fee_amount; fee_terms,cash-flow bridge by manager; manager/holding/exposure rows; fee schedule by account,Portfolio Summary; Asset Allocation Summary; Risk & Statistics; Performance Summary; manager characteristics and top holdings; Cash Flow Summary by Manager; Fee Summary,"Full 66-page TXT read. PDF block layout checked pages 18, 20, 24, 30, 56, 65 confirming cash-flow horizons, allocation columns, risk metrics, net performance, manager bridge and fee columns."
9,SRC453,Performance_Austin_Firefighters_Meketa_Report_2Q2025.pdf,109,REVIEWED,report_context; portfolio_summary; period_activity; performance_series; fund_performance; exposure_breakdown,policy_range_pct; policy_compliance_flag; account_structure,manager cash-flow bridge; private-fund performance tables across PE/RE/natural resources; multi-dimensional holdings/sector/credit-quality exposure,2Q25 Executive Summary; Total Fund allocation; trailing net performance; peer/risk metrics; QTD cash-flow summary; fee schedule; private-market asset tables; infrastructure education; Aether analysis; monitoring/pacing history,"Full 109-page TXT read in five contiguous chunks. PDF block layout checked pages 15, 22, 34, 52, 55, 57, 59 and Aether exposure page to confirm allocation, performance, cash-flow, fee and private-fund columns."
10,SRC219,Quarterly_Report_Kentucky_KPPA_Board_Materials_Dec2025.pdf,488,REVIEWED,report_context; portfolio_summary; performance_series; fund_performance; exposure_breakdown,"none retained; large packet reinforced performance_basis, policy ranges, fee amounts, manager AUM, fair-value/allocation and benchmark fields",manager/AUM rows; fee-expense rows; fair-value/allocation rows all fit existing exposure/fund-detail structures,IPS Target vs Actual Allocation; net/gross return schedules; asset-class Plan/Index performance; Investment Managers & AUM; External Investment Expenses; Fair Values; quarterly Investment Department Update,"Full 488-page TXT read completely. PDF block layout checked pages 269, 270, 393, 395, 398, 482 and 483 for target/actual allocation, Plan/Index performance, manager AUM, fee tables, fair values and quarterly returns."
