valuation_id,case_id,manager_id,fund_id,portfolio_company_id,instrument_id,valuation_date,fair_value,remaining_value,invested_cost,status,sector,geography,ownership_pct,revenue,ebitda_margin,ev_ebitda_multiple,net_debt,fx_to_usd,evidence_id,synthetic_flag,generator_version
CASEVAL_CASE_001_01,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_01,INSTR_SYNTH_000701_01,2025-12-31,35.000000,0.000000,25.000000,pre_exit_mark,Healthcare,North America,0.53011150,45.000000,0.175000,9.700000,16.000000,1.000000,EV_CASE_CASE_001_01_VAL,true,gp_v2_cases_2
CASEVAL_CASE_001_02,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_03,INSTR_SYNTH_000701_03,2025-12-31,15.000000,0.000000,20.000000,pre_exit_mark,Consumer,Europe,0.40597841,50.000000,0.190000,10.400000,14.000000,1.000000,EV_CASE_CASE_001_02_VAL,true,gp_v2_cases_2
CASEVAL_CASE_001_03,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_04,INSTR_SYNTH_000701_04,2025-09-30,4.000000,0.000000,10.000000,pre_exit_mark,Healthcare,North America,0.21436527,55.000000,0.205000,11.100000,12.000000,1.000000,EV_CASE_CASE_001_03_VAL,true,gp_v2_cases_2
CASEVAL_CASE_001_04,CASE_001,MANAGER_SYNTH_00176,FUND_SYNTH_000701,COMPANY_SYNTH_000701_05,INSTR_SYNTH_000701_05,2026-06-30,60.000000,60.000000,45.000000,active,Business Services,Asia Pacific,0.51756603,60.000000,0.220000,11.800000,10.000000,1.000000,EV_CASE_CASE_001_04_VAL,true,gp_v2_cases_2
CASEVAL_CASE_002_01,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_01,INSTR_SYNTH_000361_01,2025-12-31,35.000000,0.000000,25.000000,pre_exit_mark,Industrials,North America,0.79172990,45.000000,0.175000,9.700000,16.000000,1.000000,EV_CASE_CASE_002_01_VAL,true,gp_v2_cases_2
CASEVAL_CASE_002_02,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_02,INSTR_SYNTH_000361_02,2025-12-31,15.000000,0.000000,20.000000,pre_exit_mark,Healthcare,Europe,0.05387685,50.000000,0.190000,10.400000,14.000000,1.000000,EV_CASE_CASE_002_02_VAL,true,gp_v2_cases_2
CASEVAL_CASE_002_03,CASE_002,MANAGER_SYNTH_00091,FUND_SYNTH_000361,COMPANY_SYNTH_000361_03,INSTR_SYNTH_000361_03,2026-06-30,60.000000,60.000000,45.000000,active,Software,North America,0.29019093,55.000000,0.205000,11.100000,12.000000,1.000000,EV_CASE_CASE_002_03_VAL,true,gp_v2_cases_2
CASEVAL_CASE_003_01,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,COMPANY_SYNTH_000654_01,INSTR_SYNTH_000654_01,2025-12-31,35.000000,0.000000,25.000000,pre_exit_mark,Business Services,North America,0.79245118,45.000000,0.175000,9.700000,16.000000,1.000000,EV_CASE_CASE_003_01_VAL,true,gp_v2_cases_2
CASEVAL_CASE_003_02,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,COMPANY_SYNTH_000654_02,INSTR_SYNTH_000654_02,2025-12-31,15.000000,0.000000,20.000000,pre_exit_mark,Healthcare,Europe,0.05877755,50.000000,0.190000,10.400000,14.000000,1.000000,EV_CASE_CASE_003_02_VAL,true,gp_v2_cases_2
CASEVAL_CASE_003_03,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,COMPANY_SYNTH_000654_03,INSTR_SYNTH_000654_03,2025-09-30,4.000000,0.000000,10.000000,pre_exit_mark,Software,North America,0.60159266,55.000000,0.205000,11.100000,12.000000,1.000000,EV_CASE_CASE_003_03_VAL,true,gp_v2_cases_2
CASEVAL_CASE_003_04,CASE_003,MANAGER_SYNTH_00164,FUND_SYNTH_000654,COMPANY_SYNTH_000654_04,INSTR_SYNTH_000654_04,2026-06-30,60.000000,60.000000,45.000000,active,Business Services,Asia Pacific,0.48313154,60.000000,0.220000,11.800000,10.000000,1.000000,EV_CASE_CASE_003_04_VAL,true,gp_v2_cases_2
