record_group,field_name,source_labels_seen,definition,first_seen_file_id,files_processed,files_checked_for_field,files_with_field,presence_pct,total_observations,avg_observations_when_present,extractability,alt_investment_use,provisional_class,merged_into,example_file_id,example_page,notes
statement_context,issuer_name,"STARWOOD REAL ESTATE INCOME TRUST, INC.",Printed issuer/company name,SRC247,6,6,6,100.0,6,1.0,high,entity anchor,CORE,,SRC247,1,
statement_context,supplement_date,"SUPPLEMENT NO. 4 DATED JUNE 14, 2024",Document supplement/report date,SRC247,6,6,6,100.0,6,1.0,high,document chronology,CORE,,SRC247,1,
statement_context,transaction_price_effective_date,"July 1, 2024 Transaction Price",Effective date for the stated transaction price,SRC247,6,6,6,100.0,6,1.0,high,subscription/repurchase pricing,CORE,,SRC247,1,
statement_context,currency,$,Printed currency for monetary values,SRC247,6,6,6,100.0,6,1.0,high,amount interpretation,MERGED,amount_unit_context,SRC247,1, Second-pass compacting: merged into amount_unit_context; raw value fields retain printed symbols/units.
statement_context,amount_scale,$ and shares/units in thousands,Printed scale applying to table amounts,SRC247,6,6,6,100.0,6,1.0,high,amount interpretation,MERGED,amount_unit_context,SRC247,1, Second-pass compacting: merged into amount_unit_context; raw value fields retain printed symbols/units.
nav_component,as_of_date,"May 31, 2024|April 30, 2024",Date attached to a NAV component record,SRC247,6,6,6,100.0,12,2.0,high,period alignment,CORE,,SRC247,2,
nav_component,component_name,Investments in real estate|Debt obligations|Net asset value|Non-controlling interests in consolidated entities,Printed NAV component row label,SRC247,6,6,6,100.0,168,28.0,high,NAV composition,CORE,,SRC247,2,
nav_component,amount_raw,Components of NAV,Printed monetary amount for the NAV component; transcribe exactly as printed under the table unit context,SRC247,6,6,6,100.0,168,28.0,high,NAV composition,CORE,,SRC247,2,
share_class_nav,as_of_date,"May 31, 2024|April 30, 2024",Date attached to share-class NAV record,SRC247,6,6,6,100.0,12,2.0,high,period alignment,CORE,,SRC247,2,
share_class_nav,share_class,Class S|Class T|Class D|Class I|Third-party Operating Partnership Units,Printed share class or unit category,SRC247,6,6,6,100.0,60,10.0,high,class dimension,CORE,,SRC247,2,
share_class_nav,nav_raw,Net asset value,Printed NAV attributable to the share class or unit category,SRC247,6,6,6,100.0,60,10.0,high,class economics,CORE,,SRC247,2,
